titles,genre,developers,publishers
007 Racing,Eutechnyx,EA Games and MGM Interactive,Unreleased
007: The World Is Not Enough,Black Ops Entertainment,EA Games and MGM Interactive,Unreleased
007: Tomorrow Never Dies,Black Ops Entertainment,Electronic Arts and MGM Interactive,"February 10, 2000"
1-Jikan de Wakaru Kabushiki Toushi,Game Stage,D3Publisher,"July 26, 2001"
100 Manyen Quiz Hunter,FPS,FPS,"December 23, 1998"
101 Dalmatians II: Patch's London Adventure,Backbone Entertainment,Eidos Interactive,Unreleased
10101: Will the Starship,Sound Technology,Sound Technology,"November 6, 1997"
102 Dalmatians: Puppies to the Rescue,Crystal Dynamics,Eidos Interactive,Unreleased
19:03 Ueno-hatsu Yakou Ressha,Visit,Visit,"March 4, 1999"
1Xtreme•ESPN Extreme Games,Sony Interactive Studios America,"SCEANA, SCEEPAL, SCEIJP","May 24, 1996"
2002 FIFA World Cup,EA Canada,EA Sports,Unreleased
2999-Nen no Game Kids,SCEI,SCEI,"December 23, 1998"
2Xtreme,Sony Interactive Studios America,"SCEANA, SCEEPAL",Unreleased
360: Three Sixty,Smart Dog,Cryo Interactive,Unreleased
3D Baseball•3D Baseball: The MajorsJP,Crystal Dynamics,"Crystal DynamicsNA, BMG InteractiveJP","February 28, 1997"
3D Shooting Tsukuru,Success,ASCII Entertainment,"December 20, 1996"
3x3 Eyes: Kyuusei Koushu,Nihon Create,Xing Entertainment,"August 11, 1995"
3x3 Eyes: Tenrinou Genmu,Nihon Create,King Records,"August 6, 1998"
3Xtreme,989 Studios,989 Studios,Unreleased
40 Winks,Eurocom,GT Interactive,Unreleased
4-4-2 Soccer,Arc Developments,Virgin Interactive,Unreleased
5 Star Racing,Kung Fu Games,Phoenix Games,Unreleased
70's Robot Anime Geppy-X,Aroma,Aroma,"May 27, 1999"
98 Kōshien,Magical Company,Magical Company,"June 18, 1998"
99 Kōshien,Magical Company,Magical Company,"June 17, 1999"
A Nanjarin,To One,To One,"June 11, 1998"
A2 Racer III: Europa Tour,Davilex,Davilex,Unreleased
A.IV Evolution: A-Ressha de Ikou 4,Artdink,Artdink,"December 3, 1994"
A5: A-Ressha de Ikou 5,Artdink,Artdink,"December 4, 1997"
A-Ressha de Ikou Z: Mezase! Tairiku Oudan,Artdink,Artdink,"May 4, 1999"
A-Train•A.IV Evolution GlobalJP•A-IV Evolution GlobalPAL,Artdink,"MaxisNA, ArtdinkJP, SCEEPAL","November 22, 1995"
AbalaBurn,Tamsoft,Takara,"August 20, 1998"
Ace Combat 2,Namco,"NamcoJP,NA, SCEEPAL","May 30, 1997"
Ace Combat 3: Electrosphere,Namco,"Namco, SCEEPAL","May 27, 1999"
Aces of the Air•Simple 1500 Series Vol. 95: The HikoukiJP,Highwaystar,"D3 PublisherJP, AgetecNA","May 23, 2002"
Acid,ISCO,Taki,"July 8, 1999"
Aconcagua,SCEI,SCEI,"June 1, 2000"
Action Bass,Vingt-et-un Systems,"Take 2 Interactive, SyscomJP","December 9, 1999"
Action Man: Destruction X,Blitz Games[9],"The 3DO Company, Hasbro Interactive",Unreleased
Action Man: Operation Extreme•Action Man: Mission XtremePAL,Blitz Games,Hasbro Interactive,Unreleased
Activision Classic Games for the Atari 2600,Gray Matter,Activision,Unreleased
Actua Golf•VR Golf '97NA,Gremlin Interactive,"Gremlin InteractivePAL, VR SportsNA, Naxat SoftJP","April 11, 1997"
Actua Golf 2•Fox Sports Golf '99NA,Gremlin Interactive,"Gremlin InteractivePAL, Fox InteractiveNA",Unreleased
Actua Golf 3,Gremlin Interactive,Gremlin Interactive,Unreleased
Actua Ice Hockey,Gremlin Interactive,"Gremlin InteractivePAL, KonamiJP","December 17, 1998"
Actua Ice Hockey 2,Gremlin Interactive,Gremlin Interactive,Unreleased
Actua Soccer•Ran SoccerDE•VR Soccer '96NA,Gremlin Interactive,"Gremlin InteractivePAL, Naxat SoftJP, InterplayNA","July 19, 1996"
Actua Soccer 2,Gremlin Interactive,Gremlin Interactive,Unreleased
Actua Soccer 3,Gremlin Interactive,Gremlin Interactive,Unreleased
Actua Soccer Club Edition,Gremlin Interactive,Gremlin Interactive,Unreleased
Actua Tennis,Gremlin Interactive,Gremlin Interactive,Unreleased
Ad Lib Ouji ...to Fuyukai na Nakama-tachi!?,Nippon Telenet,Nippon Telenet,"December 19, 2002"
Addie no Okurimono,SCEI,SCEI,"February 3, 2000"
Adiboo & Paziral's Secret,Coktel Vision,Vivendi Games,Unreleased
Adibou Et L'Ombre Verte,Coktel Vision,SCEE,Unreleased
Adidas Power Soccer,Psygnosis,Psygnosis,Unreleased
Adidas Power Soccer 2,Shen,Psygnosis,Unreleased
Adidas Power Soccer International 97,Psygnosis,Psygnosis,Unreleased
Adidas Power Soccer 98,Shen,Psygnosis,Unreleased
Advan Racing,Atlus,Atlus,"November 19, 1998"
Advanced V.G.,TGL,TGL,"April 19, 1996"
Advanced V.G. 2,TGL,TGL,"September 23, 1998"
The Adventure of Little Ralph,New Corporation,"Ertain Corporation, New Corporation","June 3, 1999"
"The Adventures of Lomax•LomaxPAL,JP",Psygnosis,Psygnosis,"December 18, 1997"
AFL 99,EA Sports,EA Sports,Unreleased
Afraid Gear,Office Create,Asmik Ace Entertainment,"October 29, 1998"
Afraid Gear Another,Office Create,Office Create,"June 14, 2001"
Afro Inu: The Puzzle,Axes Art Amuse,Bandai,"October 25, 2001"
Agent Armstrong•Agent Armstrong: Himitsu Shirei DaisakusenJP,King of the Jungle,"Virgin InteractivePAL, W.I.ZJP","December 4, 1997"
Agile Warrior F-111X•Agile WarriorJP,Black Ops Entertainment,Virgin Interactive,"January 13, 1996"
AI Mahjong 2000,i4,i4,"November 25, 1999"
AI Mahjong Selection,i4,i4,"July 25, 2002"
AI Shogi,Soft Bank,Soft Bank,"November 22, 1995"
AI Shogi 2,GameBank,GameBank,"December 25, 1997"
AI Shogi 2 Deluxe,i4,i4,"September 22, 1999"
AI Shogi Selection,Hamster,Hamster,"May 23, 2002"
