titles,released,developers,publishers
¡Qué pasa Neng! El videojuego,11-12-2006,Mere Mortals,Phoenix Games
.hack//frägment,23-11-2005,CyberConnect2,Bandai
.hack//G.U.vol.1//Rebirth,18-05-2006,CyberConnect2,Bandai
.hack//G.U.vol.2//Reminisce,28-09-2006,CyberConnect2,Namco Bandai Games
.hack//G.U.vol.3//Redemption,18-01-2007,CyberConnect2,Namco Bandai Games
.hack//Infection Part 1,20-06-2002,CyberConnect2,Bandai
.hack//Mutation Part 2,19-09-2002,CyberConnect2,Bandai
.hack//Outbreak Part 3,12-12-2002,CyberConnect2,Bandai
.hack//Quarantine Part 4,10-04-2003,CyberConnect2,Bandai
_Summer,24-08-2006,Hooksoft,GN Software
007: NightFire,18-11-2002,Eurocom,Electronic Arts
007: Quantum of Solace•007: Nagusame no HoushuuJP,31-10-2008,Eurocom,Activision
10 Pin: Champions Alley,05-04-2005,Liquid Games,OG International Ltd
"10,000 Bullets•Tsukiyo ni SarabaJP,KO",24-02-2005,Blue Moon,"TaitoJP, CyberFrontKO, 505 Game StreetEU"
120-en no Haru: 120 Yen Stories,24-02-2005,Interchannel,Interchannel
12Riven: The Psi-Climinal of Integral,13-03-2008,CyberFront,CyberFront
18 Wheeler American Pro Trucker,14-11-2001,Acclaim Studios Cheltenham,Acclaim EntertainmentSega
187 Ride or Die,23-08-2005,Ubisoft,Ubisoft
1945 I & II The Arcade Games•Psikyo Shooting Collection Vol. 1: Strikers 1945 I+IIJP•Strikers 1945 I & IIKO,16-07-2004,Psikyo,Play It!
2002 FIFA World Cup,22-04-2002,EA Canada,EA Sports
2003-Toshi Kaimaku – Ganbare Kyuukaiou,15-05-2003,Magical Company,Atlus Co.
21 Card Games,28-07-2006,Mere Mortals,Phoenix Games
24: The Game,28-02-2006,SCE Studio Cambridge,2K Games
25 to Life,17-01-2006,Avalanche Software,Eidos Interactive
2nd Super Robot Wars Alpha•Dai-2-Ji Super Robot Taisen AlphaJP,27-03-2003,Banpresto,Banpresto
3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,24-06-2004,Chunsoft,Chunsoft
3LDK – Shiawase ni Narouyo,01-07-2004,PrincessSoft,PrincessSoft
3rd Super Robot Wars Alpha: To the End of the Galaxy•Dai-3-Ji Super Robot Taisen Alpha Shuuen no Ginga eJP,28-07-2005,Banpresto,Banpresto
4x4 EVO,26-02-2001,Terminal Reality,Gathering of Developers
4x4 EVO 2,04-11-2002,Terminal Reality,BAM! Entertainment
50 Cent: Bulletproof,17-11-2005,Genuine Games,Vivendi Universal Games
7 Blades•Seven BladesJP,21-12-2000,Konami,Konami
7 Sins,20-05-2005,Monte Cristo Multimedia,Digital Jesters
7 Wonders of the Ancient World,20-11-2007,MumboJumbo,MumboJumbo
A-Ressha de Ikou 2001,08-03-2001,Artdink,Artdink
A-Ressha de Ikou 2001 Perfect Set,01-01-2002,Artdink,Artdink
A.C.E.: Another Century's Episode,27-01-2005,FromSoftware,Banpresto
A.C.E.: Another Century's Episode 2,30-03-2006,FromSoftware,Banpresto
A.C.E.: Another Century's Episode 2 (Special Vocal Version),29-11-2007,FromSoftware,Banpresto
A.C.E.: Another Century's Episode 3: The Final,06-09-2007,FromSoftware,Banpresto
Aa Megami-sama,22-02-2007,Marvelous,Marvelous
Abarenbou Princess,29-11-2001,Kadokawa Games,Kadokawa Games
AC/DC Live: Rock Band Track Pack,02-11-2008,Harmonix Music Systems,MTV Games
Ace Combat 04: Shattered Skies•Ace Combat: Distant ThunderPAL,01-11-2001,Namco,Namco
Ace Combat 5: The Unsung War•Ace Combat: Squadron LeaderPAL,25-10-2004,Namco,Namco
Ace Combat Zero: The Belkan War•Ace Combat: The Balkan WarPAL,25-04-2006,Namco,Namco
Ace Lightning,14-03-2003,Absolute Studios,Gamezlab
Aces of War•Reishiki Kanjou SentoukiJP,04-03-2004,Marionette,"TaitoJP, 505 Game Street"
Action Girlz Racing,15-09-2005,Data Design Interactive,Metro3D
Action Man A..TO.M.: Alpha Teens on Machines,25-05-2007,Brain in a Jar,Blast! Entertainment Ltd
Activision Anthology,19-11-2002,Contraband Entertainment,Activision
Adiboo and the Energy Thieves,24-09-2004,Coktel Studio,Vivendi Universal Games
ADK Damashii,18-12-2008,SNK Playmore,SNK Playmore
Adventure of Tokyo Disney Sea,20-12-2001,Konami,Konami
The Adventures of Cookie & Cream,30-04-2001,FromSoftware,Agetec Inc.
The Adventures of Darwin•Simple 2000 Series Vol. 99: The GenshijinJP•DarwinEU,27-04-2006,Vingt-et-un Systems,D3 Publisher
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,13-09-2004,THQ,THQ
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,16-09-2003,THQ,THQ
Æon Flux,15-11-2005,Terminal Reality,Majesco Entertainment
Aero Elite: Combat Academy•Aero Dancing 4: New GenerationJP,10-03-2003,Sega-AM2,Sega
Aerobics Revolution,13-03-2003,Konami,Konami
AFL Live 2003,05-09-2002,IR Gurus,Acclaim Entertainment
AFL Live 2004,21-11-2003,IR Gurus,Acclaim Entertainment
AFL Live Premiership Edition,29-04-2004,IR Gurus,Acclaim Entertainment
AFL Premiership 2005: The Official Game of the AFL Premiership,22-09-2005,IR Gurus,SCE AustraliaAU
AFL Premiership 2006,20-07-2006,IR Gurus,SCE AustraliaAU
AFL Premiership 2007,28-06-2007,IR Gurus,SCE AustraliaAU
After...,26-02-2004,Pionesoft,Pionesoft
Agassi Tennis Generation,25-08-2003,Aqua Pacific,DreamCatcher Interactive
Age of Empires II: The Age of Kings,02-11-2001,Ensemble Studios,Konami
Agent Hugo,12-10-2005,ITE Media,ITE Media
Agent Hugo: Hula Holiday,06-10-2008,Attractive Games,NDS Software
Agent Hugo: Lemoon Twist,05-11-2007,Coyote Console,ITE Media
Agent Hugo: Roborumble,06-10-2006,ITE Media,ITE Media
Aggressive Inline,28-05-2002,Z-Axis,AKA Acclaim
AI Igo 2003,24-04-2003,GeneX,GeneX
AI Mahjong 2003,24-04-2003,GeneX,GeneX
AI Shogi 2003,24-04-2003,GeneX,GeneX
Ai Yori Aoshi,20-03-2003,KID,KID
Aikagi,25-09-2003,NEC Interchannel,NEC Interchannel
Air,08-08-2002,NEC Interchannel,NEC Interchannel
Air Raid 3,04--2004,Phoenix Games,Phoenix Games
Air Ranger: Rescue Helicopter,29-03-2001,ASK,ASKJP Midas Interactive EntertainmentEU
Air Ranger 2: Rescue Helicopter,28-03-2002,ASK,ASK
Air Ranger 2 Plus: Rescue Helicopter,30-10-2003,ASK,ASK
AirBlade,09-11-2001,Criterion Games,Namco
Airborne Troops: Countdown to D-Day•Airborne TroopsPAL,07-01-2005,WideScreen Games,Mud Duck Productions
Airforce Delta Strike•Deadly Skies IIIPAL•Airforce Delta: Blue Wing KnightsJP,03-02-2004,KCE Studios,Konami
The Aka-Champion•Simple 2000 Series Vol. 94: The Aka-Champion – Come On BabyJP•Come On Baby!KO,29-12-2005,Expotato,"D3 Publisher, SCE KoreaKO"
Akagi: Yami ni Furitatta Tensai•Simple 2000 Ultimate Series Vol. 19: AkagiJP,12-12-2002,Warashi,D3 Publisher
Akai Ito,21-10-2004,Success Corporation,Success Corporation
Akane Iro ni Somaru Saka: Parallel,14-08-2008,Feng,GN Software
Akira Psycho Ball,17-02-2002,KAZe,Bandai
Akudaikan,08-08-2002,Global A,Global A
Akudaikan 2: Mousouden,31-07-2003,Global A,Global A
Akudaikan 3,01-03-2007,Global A,Global A
Alan Hansen's Sports Challenge,26-10-2007,The Code Monkeys,Oxygen Interactive
Alarm for Cobra 11 Vol. 2: Hot Pursuit•Alarm fuer Cobra 11 Vol IIDE,10-06-2005,Davilex,Midas Interactive Entertainment
Alex Ferguson's Player Manager 2001•DSF Fußball Manager 2002DE•Guy Roux Manager 2002FR,21-09-2001,Anco Software,"3DO, Ubisoft"
Alfa Romeo Racing Italiano•S.C.A.R.: Squadra Corse Alfa RomeoEU,24-06-2005,Milestone,Valcon Games
Alias,05-04-2004,Acclaim Studios Cheltenham,Acclaim Entertainment
Alien Hominid,21-11-2004,The Behemoth,"O3 Entertainment, Zoo Digital PublishingEU"
Aliens in the Attic,04-08-2009,Revistronic,Playlogic
Aliens Versus Predator: Extinction,30-07-2003,Zono,Electronic Arts
All Star Fighters•Simple 2000 Series Vol. 91: The All Star KakutouJP,15-12-2005,D3 Publisher,"D3 PublisherJP, Essential GamesPAL"
All Star Pro-Wrestling,08-06-2000,Square,Square
All Star Pro-Wrestling II,22-11-2001,Square,Square
All Star Pro-Wrestling III,07-08-2003,Square,Square
All-Star Baseball 2002,12-03-2001,Acclaim Studios Austin,Acclaim Entertainment
All-Star Baseball 2003,26-02-2002,Acclaim Studios Austin,Acclaim Entertainment
All-Star Baseball 2004,01-03-2003,Acclaim Studios Austin,Acclaim Entertainment
All-Star Baseball 2005,08-04-2004,Acclaim Studios Austin,Acclaim Entertainment
Alone in the Dark,20-06-2008,Hydravision Entertainment,Atari
Alone in the Dark: The New Nightmare,28-09-2001,Spiral House,Infogrames
Alpine Racer 3,28-03-2002,Namco,"NamcoJP, Sony Computer EntertainmentEU"
Alpine Ski Racing 2007,04-12-2006,49Games,RTL PlaytainmentJoWooD Productions
Alpine Skiing 2005,10-06-2005,49Games,RTL PlaytainmentMidas Interactive Entertainment
Alter Echo,19-08-2003,Outrage Games,THQ
"Altered Beast•Jyuouki: Project Altered BeastJP,KO",27-01-2005,Wow Entertainment,Sega
Alvin and the Chipmunks,04-12-2007,Brash Entertainment,Brash Entertainment
Amagami,19-03-2009,Enterbrain,Enterbrain
Amagoushi no Yakata,08-03-2007,Fog,Nippon Ichi Software
America Oudan Ultra-Quiz,28-03-2002,DigiCube,DigiCube
American Chopper,25-11-2004,Creat Studio,"Activision Value, Zoo Digital PublishingEU"
American Chopper 2: Full Throttle,20-11-2005,Creat Studio,"Activision, Zoo Digital PublishingEU, Activision ValueAU"
American Idol•Pop IdolEU,07-11-2003,Hothouse Creations,Codemasters
American Pool II,09-03-2007,Phoenix Games,Phoenix Games
AMF Xtreme Bowling•AMF Xtreme Bowling 2006EU,13-06-2006,Mud Duck Productions,"Mud Duck Productions, MastertronicEU"
Amplitude,24-03-2003,Harmonix Music Systems,Sony Computer Entertainment
An American Tail,12-07-2007,Data Design Interactive,Blast! Entertainment Ltd
AND 1 Streetball,06-06-2006,Black Ops Entertainment,Ubisoft
Angel Profile,27-09-2007,GeneX,CyberFront
Angel Wish: Kimi no Egao ni Chu!,24-02-2005,Pionesoft,Pionesoft
Angel's Feather,11-03-2004,KID,KID
Angel's Feather: Kuro no Zanei,30-06-2005,Blue Impact,GN Software
Angelic Concert,13-03-2003,Success Corporation,Success Corporation
Angelique Etoile,16-09-2004,Koei,Koei
Angelique Trois,22-11-2000,Koei/Inis,Koei
Angelique Trois: Aizouhen,26-07-2001,Koei/Inis,Koei
Animal Soccer World,05--2005,The Code Monkeys,Phoenix Games
Animaniacs: The Great Edgar Hunt,24-06-2005,Warthog,Ignition Entertainment
The Ant Bully,24-07-2006,Artificial Mind and Movement,Midway Games
Antz Extreme Racing,26-07-2002,Supersonic Software,Empire Interactive
Anubis II,14-07-2005,Data Design Interactive,Metro 3D
Anya Nisasayaku,09-02-2006,Idea Factory,Idea Factory
Aoi no Mamade...,28-10-2004,Idea Factory,Idea Factory
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~,22-02-2007,Kogado Studio,Nippon Ichi Software
Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki,11-08-2005,Kogado Studio,Nippon Ichi Software
Aoishiro,15-05-2008,Success Corporation,Success Corporation
Aoitenryuu: The Arcade,27-03-2003,DigiCube,DigiCube
"Ape Escape 2•Saru! Get You! 2JP,AS",18-07-2002,Sony Computer Entertainment,"Sony Computer Entertainment, UbisoftNA"
"Ape Escape 3•Saru! Get You! 3JP,AS",12-07-2005,Sony Computer Entertainment,Sony Computer Entertainment
Ape Escape: Pumped & Primed•Gacha Mecha Stadium Saru BattleJP,01-07-2004,Japan Studio,"Sony Computer EntertainmentJP, UbisoftNA"
Apocripha/0,28-10-2004,GN Software,GN Software
Appleseed EX,15-02-2007,DreamFactory,Sega
Aqua Aqua•AquaquaJP•Aqua Aqua: Wetrix 2EU,02-11-2000,Zed Two Limited,"ImagineerJP, 3DOEU,NA"
Aqua Kids,12-08-2004,Cinepix,Yuke's
Aqua Teen Hunger Force Zombie Ninja Pro-Am,05-11-2007,Creat Studio,Midway Games
Ar tonelico: Melody of Elemia•Ar tonelico: Sekai no Owari de Utai Tsudzukeru ShoujoJP,26-01-2006,Gust,"BanprestoJP, NIS AmericaNA, 505 GamesEU"
Ar tonelico II: Melody of Metafalica•Ar tonelico II: Sekai ni Hibiku Shoujo Tachi no MetafalicaJP,25-10-2007,Gust,"BanprestoJP, NIS AmericaNA,EU"
Arabians Lost: The Engagement on Desert,11-10-2007,QuinRose,"Prototype, QuinRose"
Arc the Lad: End of Darkness•Arc the Lad: GenerationJP,03-11-2004,Cattle Call,"Sony Computer EntertainmentJP, NamcoNA"
Arc the Lad: Twilight of the Spirits•Arc: Twilight of the SpiritsEU•Arc the Lad: Seirei no KoukonJP,20-03-2003,Cattle Call,Sony Computer Entertainment
Arcade Action: 30 Games,19-11-2004,SG Diffusion,Phoenix Games
Arcade Classics Volume One,21-04-2006,Play It!,Play It!
Arcade USA,21-04-2006,Mere Mortals,Phoenix Games
Arcana Heart,11-10-2007,Konami Examu Entertainment inc.,"AQ InteractiveJP, AtlusUS"
Arcobaleno!,14-05-2009,Idea Factory,Idea Factory
Arctic Thunder,17-09-2001,Inland Productions,Midway Games
Are You Smarter Than a 5th Grader: Make the Grade,20-10-2008,ImaginEngine,THQ
Area 51,25-04-2005,Midway Studios Austin,"Midway GamesNA,PAL, Success CorporationJP"
Arena Football,07-02-2006,EA Tiburon,EA Sports
Arena Football: Road to Glory,20-02-2007,Budcat,EA Sports
Aria: The Natural ~Tooi Yume no Mirage~,28-09-2006,Regista,Alchemist
Aria: The Origination ~Aoi Hoshi no El Cielo~,26-06-2008,Regista,Alchemist
Armen Noir,09-12-2010,Otomate,Idea Factory
Armored Core: Formula Front,03-03-2005,FromSoftware,FromSoftware
Armored Core: Last Raven,04-08-2005,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL"
Armored Core: Nexus,18-03-2004,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Indie GamesEU"
Armored Core: Nine Breaker,28-10-2004,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesEU"
Armored Core 2,03-08-2000,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, UbisoftEU"
Armored Core 2: Another Age,12-04-2001,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU"
Armored Core 3,04-04-2002,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU"
Army Men: Air Attack 2•Army Men: Air Attack – Blade's RevengeEU,23-03-2001,3DO,3DO
Army Men: Green Rogue,25-03-2001,3DO,3DO
Army Men: Major Malfunction,04-08-2006,Global Star Software,Global Star Software
Army Men: RTS•Totsugeki! Army Men: Shijou Saishou no SakusenJP,27-03-2002,Pandemic Studios,"3DONA,EU, CapcomJP"
Army Men: Sarge's Heroes 2,03-01-2001,3DO,"3DONA, MidasEU"
Army Men: Sarge's War,23-07-2004,Tactical Development,Global Star Software
Army Men: Soldiers of Misfortune,04-11-2008,Big Blue Bubble,DSI Games
