titles,genre,developers,publishers
007: Agent Under Fire,First-person shooter,Savage Entertainment,EA Games
007: Everything or Nothing,"Third-person Action-Adventure,Stealth",Visceral Games,EA Games
007: From Russia with Love,"Third-person Action-Adventure,Stealth",Visceral Games,EA Games
007: Nightfire,First-person shooter,Eurocom,EA Games
187 Ride or Die,Vehicular combat,Ubisoft,Ubisoft
2002 FIFA World Cup,Sports,EA Sports,EA Sports
2006 FIFA World Cup,Sports,EA Sports,EA Sports
25 To Life,Third-person shooter,"Avalanche Software, Ritual Entertainment",Eidos
4x4 EVO 2,Racing,Terminal Reality,Gathering of Developers
50 Cent: Bulletproof,Third-person shooter,Genuine Games,Vivendi Universal Games
Advent Rising,Third-person shooter,GlyphX Games,Majesco Entertainment
Æon Flux,Action-Adventure,Terminal Reality,Majesco Entertainment
AFL Live 2003,Sports,IR Gurus,Acclaim Sports
AFL Live 2004,Sports,IR Gurus,Acclaim Entertainment
AFL Live Premiership Edition,Sports,IR Gurus,Acclaim Entertainment
AFL Premiership 2005,Sports,IR Gurus,THQ
Aggressive Inline,Sports,Z-Axis,AKA Acclaim
Airforce Delta Storm  Deadly Skies (PAL)  Airforce Delta II (JP),Flight Simulator,Konami,Konami
Alias,Action-Adventure,Acclaim Studios Cheltenham,Acclaim Entertainment
Alien Hominid,Run and gun,The Behemoth,O~3 Entertainment
Aliens Versus Predator: Extinction,Real-time strategy,Zono,EA Games
Alfa Romeo Racing Italiano  SCAR : Squadra Corse Alfa Romeo (PAL),Racing,Milestone srl,Black Bean Games
All-Star Baseball 2003,Sports,Acclaim Studios Austin,Acclaim Sports
All-Star Baseball 2004,Sports,Acclaim Studios Austin,Acclaim Sports
All-Star Baseball 2005,Sports,Acclaim Studios Austin,Acclaim Entertainment
Alter Echo,Action-Adventure,Outrage Entertainment,THQ
America's Army: Rise of a Soldier,Tactical shooter,Secret Level,Ubisoft
American Chopper,Sports,Creat Studios,Activision
American Chopper 2: Full Throttle,Sports,Creat Studios,Activision
AMF Bowling 2004,Sports,Mud Duck Productions,Bethesda Softworks
AMF Xtreme Bowling 2006,Sports,Mud Duck Productions,Bethesda Softworks
Amped: Freestyle Snowboarding,Sports,Indie Built,Xbox Game Studios
Amped 2  Tenku 2 (JP),Sports,Indie Built,Xbox Game Studios
AND 1 Streetball,Sports,Black Ops Entertainment,Ubisoft
Angelic Concert (JP),Visual novel,Success,
Animaniacs: The Great Edgar Hunt,Platformer,Warthog Games,Ignition Entertainment
Antz Extreme Racing,Racing,LSP,Empire Interactive
Aoi Namida (JP),Visual Novel,Artlim Media,Panther Software
APEX  Racing Evoluzione (PAL),Racing,Milestone,Infogrames
Aquaman: Battle for Atlantis,Action-Adventure,TDK,TDK
Arctic Thunder,Racing,Midway Games,Midway Games
Area 51,"First-person shooter,Survival Horror",Midway Studios Austin,Midway
Arena Football,Sports,EA Tiburon,EA Games
Armed and Dangerous,"Third-person shooter,Third-person Action-Adventure",Planet Moon Studios,LucasArts
Army Men: Major Malfunction,Third-person shooter,Global Star Software,3DO
Army Men: Sarge's War,Third-person shooter,Global Star Software,3DO
Arx Fatalis,First-person Role-playing,Arkane Studios,JoWood Productions
Atari Anthology,Arcade Compilations,Digital Eclipse,Atari
ATV Quad Power Racing 2,Racing,Climax Studios,AKA Acclaim
Auto Modellista,Racing,Capcom Production Studio 1,Capcom
Avatar: The Last Airbender,Action-Adventure,TOSE,THQ
Azurik: Rise of Perathia,Action-Adventure,Adrenium Games,Xbox Game Studios
Backyard Wrestling: Don't Try This at Home,Sports,Paradox Development,Eidos Interactive
Backyard Wrestling 2: There Goes the Neighborhood,Sports,Paradox Development,Eidos Interactive
Bad Boys: Miami Takedown  Bad Boys II  (PAL),Third-person shooter,Blitz Games,Empire Interactive
Baldur's Gate: Dark Alliance,"Action RPG,Hack and slash",Snowblind Studios,Interplay Entertainment
Baldur's Gate: Dark Alliance II,"Action RPG,Hack and slash",Black Isle Studios,Interplay Entertainment
Barbarian,Fighting,Saffire,Titus Interactive
Barbie Horse Adventures: Wild Horse Rescue,"Adventure,Racing",Blitz Games,Vivendi Universal Games
The Bard's Tale,Action RPG,InXile Entertainment,Vivendi Universal Games
The Baseball 2002: Battle Ball Park Sengen,Sports,Konami,Konami
Bass Pro Shops: Trophy Bass 2007,Fishing simulator,Big John Games,Vivendi Universal Games
Bass Pro Shops Trophy Hunter 2007,Hunting,Jarhead Games,Vivendi Universal Games
Batman Begins,"Action-Adventure,Stealth",Eurocom,EA Games
Batman: Dark Tomorrow,Action-Adventure,HotGen,Kemco
Batman: Rise of Sin Tzu,"Action-Adventure,Beat 'em up",Ubisoft Montreal,Ubisoft
Batman Vengeance,Action-Adventure,Ubisoft Montreal,Ubisoft
Battle Engine Aquila,Mecha simulator,Lost Toys,Infogrames
Battlefield 2: Modern Combat,First-person shooter,Digital Illusions CE,Electronic Arts
Battlestar Galactica,Space flight Simulator,Warthog Games,Vivendi Universal Games
Beat Down: Fists of Vengeance,"Action RPG,Beat 'em up",Cavia,Capcom
Beyond Good & Evil,Third-person Action-Adventure,Ubisoft Milan,Ubisoft
The Bible Game,Party game,Crave Entertainment,Crave Entertainment
Bicycle Casino,Gambling,Leaping Lizard,Activision Value
Big Bumpin',Party game,Blitz Games,King Games
Big Mutha Truckers,Racing,Eutechnyx,THQ
Big Mutha Truckers 2,Racing,Empire Interactive,THQ
Bionicle,Action-Adventure,Argonaut Games,Electronic ArtsLego Interactive
Bistro Cupid (JP),"Cooking Sim, RPG, Dating Sim",Success,Success
Bistro Cupid 2,"Cooking Sim, RPG, Dating Sim",Success,Success
Black,First-person shooter,Criterion Games,EA Games
Black Stone: Magic & Steel  Ex-Chaser (JP),RPG,XPEC Entertainment,Xicat Interactive
Blade II,"Action,Beat 'em up",Mucky Foot Productions,Activision
Blazing Angels: Squadrons of WWII,Flight Simulator,Ubisoft Bucharest,Ubisoft
Blinx: The Time Sweeper,"Action,Platformer",Artoon,Xbox Game Studios
Blinx 2: Masters of Time and Space  Blinx 2: Battle of Time and Space (JP),"Action,Platformer",Artoon,Xbox Game Studios
Blitz: The League,Sports,Midway Games,Midway Games
Blood Omen 2,Third-person Action-Adventure,Crystal Dynamics,Eidos Interactive
Blood Wake,Vehicular combat,Stormfront Studios,Xbox Game Studios
BloodRayne,"Action,Hack and slash",Terminal Reality,Majesco Entertainment
BloodRayne 2,"Action,Hack and slash",Terminal Reality,Majesco Entertainment
Bloody Roar Extreme,Fighting,Hudson Soft,Konami
BlowOut,Run and gun,Terminal Reality,Majesco Entertainment
BMX XXX,Sports,Z-Axis,AKA Acclaim
Braveknight,"Dating Sim, Visual novel",Panther Software,Panther Software
Break Nine: World Billiards Tournament,Billiard sports,ASK,ASK
Breakdown,"First-person shooter,Action-Adventure",Namco,Namco
Breeders' Cup World Thoroughbred Championships,Racing (Horses),ZeniMax Media,Bethesda
Brian Lara International Cricket 2005,Sports,Codemasters,Codemasters
Broken Sword: The Sleeping Dragon,Point and Click,Revolution Software,The Adventure Company
Brothers in Arms: Earned in Blood,First-person shooter,Gearbox Software,Ubisoft
Brothers in Arms: Road to Hill 30,First-person shooter,Gearbox Software,Ubisoft
Bruce Lee: Quest of the Dragon,Beat 'em up,Ronin Entertainment,Vivendi Universal Games
Brute Force,"Third-person shooter,Tactical shooter",Digital Anvil,Xbox Game Studios
Buffy the Vampire Slayer,"Third-person Action-Adventure,Beat 'em up",The Collective,Electronic Arts
Buffy the Vampire Slayer: Chaos Bleeds,"Third-person Action-Adventure,Beat 'em up",Eurocom,Vivendi Universal Games
Burnout,Racing,Criterion Games,Acclaim Entertainment
Burnout 2: Point of Impact,Racing,Criterion Games,Acclaim Entertainment
Burnout 3: Takedown,Racing,Criterion Games,EA Games
Burnout Revenge,Racing,Criterion Games,Electronic Arts
C.A.T.: Cyber Attack Team,Visual novel,Hide,Hide
