titles,genre,developers,publishers
0 Day Attack on Earth,Shooter,Gulti,Square Enix
007 Legends,First-person shooter,Eurocom,Activision
007: Quantum of Solace,First-person shooter,Treyarch,Activision
0-D Beat Drop,Puzzle & Trivia,Cyclone Zero,Arc System Works
1 vs. 100,Party,Xbox Game Studios,Xbox Game Studios
11eyes CrossOver,Visual novel,Lass,5pb.
1942: Joint Strike,Vertically scrolling shooter,Backbone Entertainment,Capcom
2006 FIFA World Cup,Sports,EA Canada,EA Sports
2010 FIFA World Cup South Africa,Sports,EA Canada,EA Sports
2014 FIFA World Cup Brazil,Sports,EA Canada,EA Sports
3 on 3 NHL Arcade,Sports & Recreation,EA Canada,Electronic Arts
3D Ultra Minigolf Adventures,Sports & Recreation,Wanako Games,Vivendi Games
3D Ultra Minigolf Adventures 2,Sports & Recreation,Wanako Games,Konami
50 Cent: Blood on the Sand,Third-person shooter,Swordfish Studios,THQ
A.R.E.S.: Extinction Agenda EX,Action & Adventure,Extend Studio,Aksys Games
Absolute: Blazing Infinity,Tactical role-playing,Idea Factory,Idea Factory
Abyss Odyssey,Action & Adventure,Ace Team,Atlus
AC/DC Live: Rock Band Track Pack,Music,Harmonix,MTV Games
Ace Combat 6: Fires of Liberation,Combat flight simulation game,Namco Bandai Games,"Namco Bandai Games, AtariEU"
Ace Combat: Assault Horizon,Combat flight simulation game,Namco Bandai Games,Namco Bandai Games
Aces of the Galaxy,Action-adventure,Artech Digital Entertainment,Vivendi Games
Adidas miCoach,Sports,Lightning Fish,505 Games
Adrenalin Misfits,Sports,Konami,Konami
Adventure Time: Explore the Dungeon Because I Don't Know!,Action-adventure,WayForward Technologies,D3 Publisher
Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit
Adventure Time: The Secret of the Nameless Kingdom,Action-adventure,WayForward Technologies,Little Orbit
Adventures of ShuggyThe Adventures of Shuggy,Action-adventure,Smudged Cat Games,Valcon Games
Aegis Wing,Action-adventure,Carbonated Games,Xbox Game Studios
AFL Live,Sports,Big Ant Studios,Tru Blu Entertainment
AFL Live 2,Sports,Wicked Witch Software,Tru Blu Entertainment
Afro Samurai,Action,Namco Bandai Games,Namco Bandai Games
After Burner Climax,Shooter,Sega,Sega
Age of Booty,Strategy & Simulation,Certain Affinity,Capcom
Air Conflicts: Pacific Carriers,Combat flight simulation game,Games Farm,bitComposer
Air Conflicts: Secret Wars,Combat flight simulation game,Games Farm,bitComposer
Air Conflicts: Vietnam,Combat flight simulation game,Kalypso Media,Kalypso Media
AirMech Arena,Action & Adventure,Carbon Games,Ubisoft
Akai Katana Shin,Bullet hell,Cave,Cave
Akatsuki no Amaneka to Aoi Kyojin,Action-adventure,CyberFront,CyberFront
Alan Wake,Third-person shooter,Remedy Entertainment,Xbox Game Studios
Alan Wake's American Nightmare,Action & Adventure,Remedy Entertainment,Xbox Game Studios
Alarm for Cobra 11: Crash Time,Racing,Synetic,RTL
Alice: Madness Returns,Action-adventure,Spicy Horse,Electronic Arts
Alien Breed: Evolution,Shooter,Team17,Xbox Game Studios
Alien Breed 2: Assault,Shooter,Team17,Xbox Game Studios
Alien Breed 3: Descent,Shooter,Team17,Xbox Game Studios
Alien Hominid HD,Action & Adventure,The Behemoth,Xbox Game Studios
Alien Rage,Shooter,CI Games,CI Games
Alien Spidy,Action & Adventure,Enigma Software Productions,Kalypso Media
Alien: Isolation,Survival horror,The Creative Assembly,Sega
Aliens vs. Predator,First-person shooter,Rebellion Developments,Sega
Aliens: Colonial Marines,First-person shooter,Gearbox Software,Sega
All Round Hunter[note 2],"Hunting,Fishing",Beast Studios,505 Games
All Zombies Must Die!,Action & Adventure,Doublesix,Square Enix
All-Pro Football 2K8,Sports,Visual Concepts,2K Sports
Alone in the Dark,Survival horror,Eden Games,Atari
Alpha Protocol,Action role-playing,Obsidian Entertainment,Sega
Altered Beast,Classics,Backbone Entertainment,Sega
Alvin and the Chipmunks: Chipwrecked,Music,Behaviour Interactive,"Majesco Entertainment, 505 Games"
American McGee's Alice,Puzzle & Trivia,Silverball Studios,Square Enix
American Mensa Academy,Action & Adventure,Rogue Entertainment,Electronic Arts
America's Army: True Soldiers,Tactical Shooter,Red Storm Entertainment,Ubisoft
Amped 3,Sports,Indie Built,2K Sports
AMY,Action & Adventure,VectorCell,Lexis Numérique
Anarchy Reigns,Beat 'em up,PlatinumGames,Sega
Ancients of Ooga,Platformer,NinjaBee,Xbox Game Studios
Angry Birds Star Wars,Puzzle,"Rovio Entertainment, Exient Entertainment",Activision
Angry Birds Trilogy,Puzzle,Rovio Entertainment,Activision
Anna: Extended Edition,Action & Adventure,Dreampainters,Kasedo Games
Anomaly: Warzone Earth,Strategy & Simulation,11 Bit Studios,Xbox Game Studios
Apache: Air Assault,Combat flight simulation game,Gaijin Entertainment,Activision
Apocalypse: Desire Next,Strategy,Idea Factory,Idea Factory
Apples to Apples,Puzzle & Trivia,ImaginEngine,THQ
Aqua,Action & Adventure,Games Distillery,Xbox Game Studios
AquaZone: Life Simulator,Simulation,Frontier Groove,Frontier Groove
Arcana Heart 3,Fighting,Examu,Arc System Works
Arcania: Gothic 4,Action role-playing,Spellbound Entertainment,JoWood
Arcania: The Complete Tale[note 3],"Action role-playing, Expansion",Spellbound Entertainment,Nordic Games
Are You Smarter Than a 5th Grader?: Game Time,Family & Educational,Blitz Games,THQ
Are You Smarter Than a 5th Grader?: Make The Grade,Family & Educational,Blitz Games,THQ
Arkadian Warriors,Action & Adventure,Wanako Games,Activision
Arkanoid Live!,Puzzle & Trivia,Taito,Taito
Armored Core 4,Vehicular combat,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP"
Armored Core V,Vehicular combat,FromSoftware,Namco Bandai Games America
Armored Core: For Answer,Vehicular combat,FromSoftware,Sega
Armored Core: Verdict Day,Vehicular combat,FromSoftware,Namco Bandai
Army of Two,Third-person shooter,EA Montreal,Electronic Arts
Army of Two: The 40th Day,Third-person shooter,EA Montreal,Electronic Arts
Army of Two: The Devil's Cartel,Third-person shooter,Visceral Games,Electronic Arts
Ascend: Hand of Kul,Action & Adventure,Signal Studios,Xbox Game Studios
Ashes Cricket 2009,Sports,Transmission Games,Codemasters
Assassin's Creed,Action-adventurestealth,Ubisoft Montreal,Ubisoft
Assassin's Creed II,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed III,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed: Liberation HD,Action & Adventure,Ubisoft Sofia,Ubisoft
Assassin's Creed IV: Black Flag,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed Rogue,"Action-adventure, stealth",Ubisoft Sofia,Ubisoft
Assassin's Creed: Brotherhood,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed: Revelations,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assault Heroes,Action & Adventure,Wanako Games,Xbox Game Studios
Assault Heroes 2,Action & Adventure,Wanako Games,Vivendi Games
Asterix at the Olympic Games,Sports,Étranges Libellules,Atari
Asteroids/Asteroids Deluxe,Classics,Stainless Games,Atari
AstroPop,Puzzle & Trivia,PopCap Games,Xbox Game Studios
Asura's Wrath,"Action, Beat 'em up",CyberConnect2,Capcom
Attack of the Movies 3D,Rail Shooter,Panic Button,Majesco Entertainment
A-Train HX,Train Sim,Artdink,"505 GamesEU, ArtdinkJP"
Autobahn Polizei,Racing,Tommo,Conspiracy Entertainment
Avatar FameStar,Party Game,Xbox Game Studios,Xbox Game Studios
Avatar: The Last Airbender – The Burning Earth,Action-adventure,THQ,THQ
Awesomenauts,Platformer,Ronimo Games,dtp entertainment
