titles,released,developers,publishers,id,summary,storyline,genres
101 Dalmatians: Escape from DeVil Manor,1999,DreamForge Intertainment,Disney Interactive,47015,"You're one of the Dalmatian puppies being held prisoner by Cruella De Vil in her creepy old mansion  The other puppies are depending on you to set them free. But before you can get them out, you have to get yourself out. That means sneaking through each room. Checking out each floor. Exploring every corner. There's gotta be an escape route somewhere. And as Patches, you have to find it.  Cruella's two henchmen, Horace and Jasper, are on your tail. So you better get moving. Because if they catch you, they'll lock you up. And if that happens, you can kiss your spots goodbye!",,"[9, 15, 31]"
102 Dalmatians: Puppies to the Rescue,2000,Crystal Dynamics,Eidos Interactive,2361,"102 Dalmatians: Puppies to the Rescue is a videogame based on the live-action Disney movie 102 Dalmatians. It made its debut in 2000 on the Sega Dreamcast and Sony PlayStation. The game itself follows the films' storyline loosely. The player can choose the role of one of two dalmatians, Oddball or Domino, who are out in the backyard looking for treasure.   Each level has its own individual tasks—completing a chore, defeating a henchmen, solving a puzzle, etc. -- which will also grant stickers. There are six stickers per a level, excluding Cruella levels, which combine together with mini games for their own sticker image.   Puppies to the Rescue is a 3-dimensional game with the ability to angle the camera in whichever direction will make it easiest to navigate for you. The player must bark at toys to short-circuit them, or roll into them to smash them. Checkpoints within a level are places where the player will be sent back if you lose a life, and are marked by a parrot named Waddlesworth. Completing each of the Cruella levels will unlock a mini game to play, like golf and chess.",,"[8, 31]"
140,2016,Double Fine Productions,Abstraction Games,9497,"140 is an indie 2D rhythm puzzle-platformer. The game features high interactivity between the soundtrack and the environment around the player, and how the player must traverse this unwieldy environment.",,"[7, 8, 9, 15, 32]"
1001 Spikes,2014,8bits Fanatics,Nicalis,8617,"The son of a famous adventurer, Aban Hawkins must avoid an endless gauntlet of devious traps and dastardly hazards while exploring the Ukampa Ruins in South America. Sharp spikes, poison darts, falling blocks and flamethrowers are among the deadly obstacles that Aban will have to overcome in order to reach the Door of Poko-Mum and learn the truth about his missing father.A throwback to the most challenging 8-bit platformers, 1001 Spikes requires intense concentration, constant memorization and flawless timing. You start the game with 1,001 lives, and you may end up losing every last one of them before you make it to the Golden Shrine!","Jim Hawkins, the world-renowned archaeologist, has gone missing while exploring the frozen reaches of Antarctica.Before his disappearance, he entrusted his daughter Tina with a map to the long forgotten ruins of Ukampa Temple in South America, along with a letter warning that death waits behind its every corner.In that letter, he posed a challenge to his estranged son, Aban Hawkins: to venture forth into the deadly ruins in search of a legendary treasure rumored to lie behind the Golden Door of Poko-Mum.Can Aban survive the endless traps of Ukampa and surpass his famous father once and for all?","[8, 31, 32]"
The 11th Hour,1995,Trilobyte,Virgin Interactive,2203,"The 11th Hour, the much-anticipated sequel to record-selling adventure horror The 7th Guest, follows the path of mystery, desolation, horror and grotesque logic set by its predecessor. It is one of the finest examples of blending cinematic sequences with a 3D environment. The 11th Hour, in a fashion similar to The 7th Guest, features 22 wonderfully pre-rendered 3D rooms that took almost three years to craft. This challenging interactive story offers a wide array of games, puzzles and quests wrought by the twisted mind of the legendary Henry Stauf. Will you unearth Old Man Stauf’s fate at last, or seal your own forever?","The ill-fated mansion of deranged toymaker Henry Stauf has been left to corrode and decompose for 70 years. However, the ominous silence only concealed the deadly legacy of madness and, when a journalist named Carl Denning arrives to search for his missing lover, the malignant past and undying forces are brought back to the real world. From the second you enter the mansion, every moment is filled with horror. Three mysterious women are your only guides as you try to escape the haunted house.","[2, 9, 31]"
12Riven: The Psi-Climinal of Integral,2008,"KID, Cyberfront","KID, Cyberfront, SDR Project",17481,"12Riven is a visual novel in which the player makes progress by reading the game's story. At certain points during conversations with other characters, the player is given a set of choices. Depending on what the player chooses, the story diverges into different branches, eventually leading to different endings; there is only one ""true ending""",,"[31, 34]"
1914 Shells of Fury,2007,Rondomedia,"Strategy First, h2f Informationssysteme",52359,The first submarine simulation that takes place during WWI.,,[13]
2 on 2 Open Ice Challenge,1997,Midway Games,Midway Games,39657,"A four-player hockey game with 1995 NHL players and teams.  Just imagine NBA Jam, then replace basketball with hockey. You pick a team and then play for the Stanley Cup.",,[14]
2002 FIFA World Cup,2002,EA Canada,EA Sports,583,"World Cup 2002 is the official game of the 17th FIFA World Cup, held in Korea and Japan between May 31 and June 30. It is based on the engine of FIFA Soccer 2002, so experienced Fifa players can get used for it quite fast.It is based on the 2002 World Cup - Korea and Japan, and includes all of the countries who promoted to the World Cup, and a lot more. Small statistics are shown for every country - their last biggest win, appearances at the World Cup, etc.The stadium and all players are really detailed. The player's texture's resolution is so high, you can easily recognize most of them. The stadium is big and impressive, and full of colored crowd.As in FIFA Soccer 2002, animation were taken from real players, with motion sensors. Thus, some new animation were added - new sliding, falling, and more.And the newest feature of 2002 FIFA World Cup, is the air ball control model. You can take balls from the air, and have much more control with them - creating great goals from the air.",,[14]
2006 FIFA World Cup,2006,EA Canada,EA Sports,5474,"Celebrating the 2006 FIFA World Cup Germany - the world's largest sporting event - 2006 FIFA World Cup brings you to the games with the world's superstar players, 12 official stadiums that will be used at 2006 FIFA World Cup Germany and stadiums from each qualifying region. Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany.In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams, the game features new compelling modes of play, including the Global Challenge that recreates classic moments in FIFA World Cup history. Furthermore, the game supports up to eight-way multiplayer matches and boasts a plethora of in-game unlockable content such as legendary players and exclusive apparel.",,[14]
